input_query,input_type,normalized_area,country_code,agent_name,branch_name,agent_type,website_url,website_domain,canonical_url,phone,email,address_full,postcode,city,latitude,longitude,source_names,source_ids,portal_profile_urls,google_place_id,osm_type,osm_id,match_confidence,validation_status,first_seen_source,evidence_count,notes
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,AngloCypria Ltd,AngloCypria Ltd,unknown,,,,,,37 Waddon Road Croydon CR0 4LH,CR0 4LH,Croydon,51.3717508,-0.109261,overpass,node/2084656221,,,node,2084656221,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Appletons Estates,Appletons Estates,unknown,,,,,,96 Park Lane Croydon CR0 1JB,CR0 1JB,Croydon,51.3685103,-0.0968055,overpass,way/638012043,,,way,638012043,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Aston Pearl,Aston Pearl,unknown,,,,,,74 Southbridge Road Croydon CR0 1AE,CR0 1AE,Croydon,51.3669022,-0.1018495,overpass,node/2273086349,,,node,2273086349,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Auction House London,"Auction House London, Croydon",sales,,,,02076259007,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Auction-House-London/Croydon-218813.html,https://www.rightmove.co.uk/estate-agents/agent/Auction-House-London/Croydon-218813.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Axis Europe,Axis Europe,unknown,,,,,,5 Brighton Road South Croydon CR2 6EA,CR2 6EA,South Croydon,51.3628597,-0.0979983,overpass,way/213915826,,,way,213915826,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,Bairstow Eves,unknown,,,,,,,,,51.3437111,-0.0618988,overpass,node/10126022012,,,node,10126022012,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,Bairstow Eves,unknown,,,,,,,,,51.325526,-0.1013657,overpass,node/10542928599,,,node,10542928599,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,Bairstow Eves,unknown,,,,,,117 South End,,117 South End,51.3639338,-0.0981328,overpass,way/213915732,,,way,213915732,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,Bairstow Eves,unknown,https://www.bairstoweves.co.uk/toletoffice/Norbury/1676,bairstoweves.co.uk,https://www.bairstoweves.co.uk/toletoffice/Norbury/1676,+442082617151,,1455 London Road London SW16 4AQ,SW16 4AQ,London,51.4098806,-0.1226609,overpass,way/264771533,,,way,264771533,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,"Bairstow Eves, Croydon",sales,,,,02038353594,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Croydon-373.html,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Croydon-373.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,"Bairstow Eves, Croydon South",sales,,,,02038356104,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Croydon-South-374.html,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Croydon-South-374.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,"Bairstow Eves, Shirley",sales,,,,02038694056,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Shirley-384.html,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Shirley-384.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves,Bairstow Eves - South Croydon,sales,https://www.bairstoweves.co.uk/estate-agents/south-croydon,bairstoweves.co.uk,https://www.bairstoweves.co.uk/estate-agents/south-croydon,02046452010,,"117 South End, Croydon, CR0 1BJ",CR0 1BJ,Croydon,,,otm,https://www.onthemarket.com/agents/branch/bairstow-eves-south-croydon/,https://www.onthemarket.com/agents/branch/bairstow-eves-south-croydon/,,,,100,validated,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves Lettings,Bairstow Eves Lettings,unknown,https://www.bairstoweves.co.uk/toletoffice/Purley/1944,bairstoweves.co.uk,https://www.bairstoweves.co.uk/toletoffice/Purley/1944,+442089455416,,11-13 Purley Road Purley CR8 2HA,CR8 2HA,Purley,51.3379451,-0.1162444,overpass,node/3568677020,,,node,3568677020,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves Lettings,"Bairstow Eves Lettings, Croydon",lettings,,,,02038356224,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves-Lettings/Croydon-3305.html,https://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves-Lettings/Croydon-3305.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bairstow Eves Sales and Letting Agents East Croydon,Bairstow Eves Sales and Letting Agents East Croydon,sales_and_lettings,http://www.bairstoweves.co.uk/forsaleoffice/east-croydon/81/,bairstoweves.co.uk,http://www.bairstoweves.co.uk/forsaleoffice/east-croydon/81/,02031513965,,"22 Norfolk House George Street, East, Croydon CR0 1LG, UK",CR0 1LG,Croydon,51.37448020000001,-0.0956533,google|otm|overpass,ChIJR4fNljMHdkgRplVpVVlyaiQ|https://www.onthemarket.com/agents/branch/bairstow-eves-east-croydon/|node/1888837671,https://www.onthemarket.com/agents/branch/bairstow-eves-east-croydon/,ChIJR4fNljMHdkgRplVpVVlyaiQ,node,1888837671,100,validated,google,3,businessStatus:OPERATIONAL|googleType:service|googleType:real_estate_agency|googleType:finance|googleType:point_of_interest|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus,Barnard Marcus,unknown,,,,,,12 Station Parade South Croydon CR2 0PH,CR2 0PH,South Croydon,51.3480119,-0.0941429,overpass,node/5796920747,,,node,5796920747,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus,"Barnard Marcus, Croydon",sales_and_lettings,,,,02038353578,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Croydon-1893.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Croydon-1893.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus,"Barnard Marcus, South Croydon",sales_and_lettings,,,,02038705042,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/South-Croydon-1931.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/South-Croydon-1931.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus,"Barnard Marcus, Thornton Heath",sales_and_lettings,,,,02038353547,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Thornton-Heath-1939.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus/Thornton-Heath-1939.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus Lettings,"Barnard Marcus Lettings, Croydon - Lettings",lettings,,,,02039073729,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Croydon---Lettings-105241.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Croydon---Lettings-105241.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus Lettings,"Barnard Marcus Lettings, South Croydon Lettings",lettings,,,,02038932743,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/South-Croydon-Lettings-50960.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/South-Croydon-Lettings-50960.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Barnard Marcus Lettings,"Barnard Marcus Lettings, Thornton Heath Lettings",lettings,,,,02039053862,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Thornton-Heath-Lettings-64275.html,https://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Thornton-Heath-Lettings-64275.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Benson & Partners,"Benson & Partners, Croydon",sales_and_lettings,,,,02038723592,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Benson-and-Partners/Croydon-5427.html,https://www.rightmove.co.uk/estate-agents/agent/Benson-and-Partners/Croydon-5427.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Best Homes,Best Homes,unknown,,,,,,98 South End Croydon CR0 1DQ,CR0 1DQ,Croydon,51.3640711,-0.09894,overpass,way/213915737,,,way,213915737,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Best Homes,Best Homes - Croydon,sales_and_lettings,,,,02077685232,,"98 South End, Croydon, Surrey, CR0 1DQ",CR0 1DQ,Surrey,,,otm,https://www.onthemarket.com/agents/branch/best-homes-croydon/,https://www.onthemarket.com/agents/branch/best-homes-croydon/,,,,100,partial,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,BG's Hair and Beauty,BG's Hair and Beauty,unknown,,,,,,284 London Road Croydon CR0 2TG,CR0 2TG,Croydon,51.3833297,-0.1073912,overpass,way/244634547,,,way,244634547,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Black+Blanc,Black+Blanc,unknown,,,,,,33 Lower Addiscombe Road Croydon CR0 6PQ,CR0 6PQ,Croydon,51.3806918,-0.0879136,overpass,node/5852358672,,,node,5852358672,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bond & Sherwill,Bond & Sherwill,unknown,https://www.bond-sherwill.com/,bond-sherwill.com,https://www.bond-sherwill.com/,+442086600189,sales@bond-sherwill.com,134 Brighton Road Coulsdon CR5 2ND,CR5 2ND,Coulsdon,51.3213747,-0.137885,overpass,way/610164124,,,way,610164124,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Bright Agents / Bright Cleaning,Bright Agents / Bright Cleaning,unknown,,,,,,32 Lower Addiscombe Road Croydon,,Croydon,51.3804903,-0.0878313,overpass,node/5852358683,,,node,5852358683,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,British Homesellers,British Homesellers,sales,,,,01727861580,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/British-Homesellers-149510.html,https://www.rightmove.co.uk/estate-agents/agent/British-Homesellers-149510.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Caridon Estates,Caridon Estates - Croydon,sales_and_lettings,https://www.caridonestates.co.uk/,caridonestates.co.uk,https://www.caridonestates.co.uk/,02081398674,,"123 High Street, Croydon, Surrey, CR0 0XJ",CR0 0XJ,Surrey,,,otm,https://www.onthemarket.com/agents/branch/caridon-estates-croydon/,https://www.onthemarket.com/agents/branch/caridon-estates-croydon/,,,,100,validated,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Caridon Property Services,Caridon Property Services - Croydon,lettings,,,,02080224092,,"123 Wrencote House, Croydon, CR0 0XJ",CR0 0XJ,Croydon,,,otm,https://www.onthemarket.com/agents/branch/caridon-property-services-croydon/,https://www.onthemarket.com/agents/branch/caridon-property-services-croydon/,,,,100,partial,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Carrolls Estate Agents,Carrolls Estate Agents,unknown,,,,,,252 Wickham Road Croydon CR0 8BJ,CR0 8BJ,Croydon,51.3750009,-0.0469692,overpass,node/5959453015,,,node,5959453015,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Carrolls Estates,Carrolls Estates - Croydon,sales_and_lettings,http://www.carrollsestates.co.uk/,carrollsestates.co.uk,http://www.carrollsestates.co.uk/,02080220947,,"270 Wickham Road, Croydon, CR0 8BJ",CR0 8BJ,Croydon,,,otm,https://www.onthemarket.com/agents/branch/carrolls-estates-croydon/,https://www.onthemarket.com/agents/branch/carrolls-estates-croydon/,,,,100,validated,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Charles Fox,Charles Fox,unknown,,,,,,18 Croham Road South Croydon CR2 7BA,CR2 7BA,South Croydon,51.3621465,-0.0944204,overpass,node/5805280997,,,node,5805280997,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Charles Richardson,Charles Richardson,unknown,http://www.charlesrichardsonltd.com/,charlesrichardsonltd.com,http://www.charlesrichardsonltd.com/,02082391007,,"1029 London Rd, Thornton Heath, Croydon CR7 6JF, UK",CR7 6JF,Croydon,51.400412300000006,-0.1179047,google,ChIJAXwrEegGdkgRVVVEv51G51A,,ChIJAXwrEegGdkgRVVVEv51G51A,,,100,validated,google,1,businessStatus:OPERATIONAL|googleType:real_estate_agency|googleType:point_of_interest|googleType:service|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Chilcott White,Chilcott White,unknown,,,,,,125 South End,,125 South End,51.3638029,-0.0979281,overpass,way/213915746,,,way,213915746,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Choices,Choices,unknown,,,,,,115 Brighton Road Coulsdon CR5 2NG,CR5 2NG,Coulsdon,51.322417,-0.1358445,overpass,node/5776941762,,,node,5776941762,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Choices,"Choices, Croydon",sales_and_lettings,,,,02039079819,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Choices/Croydon-12401.html,https://www.rightmove.co.uk/estate-agents/agent/Choices/Croydon-12401.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Choices Estate Agents Croydon,Choices Estate Agents Croydon,sales_and_lettings,http://www.choices.co.uk/,choices.co.uk,http://www.choices.co.uk/,02086801414,,"41-43 Brighton Rd, South Croydon CR2 6EB, UK",CR2 6EB,South Croydon,51.360753499999994,-0.0978574,google|otm,ChIJJeoXOEwHdkgRln-gMTL1f5k|https://www.onthemarket.com/agents/branch/choices-croydon/,https://www.onthemarket.com/agents/branch/choices-croydon/,ChIJJeoXOEwHdkgRln-gMTL1f5k,,,100,validated,google,2,businessStatus:OPERATIONAL|googleType:real_estate_agency|googleType:consultant|googleType:finance|googleType:point_of_interest|googleType:service|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Classic & Contemporary,"Classic & Contemporary, London",sales_and_lettings,,,,02038348143,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Classic-and-Contemporary/London-240368.html,https://www.rightmove.co.uk/estate-agents/agent/Classic-and-Contemporary/London-240368.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,CompassRock International,"CompassRock International, Enclave - Croydon",lettings,,,,01689663923,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/CompassRock-International/Enclave---Croydon-298391.html,https://www.rightmove.co.uk/estate-agents/agent/CompassRock-International/Enclave---Croydon-298391.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Concept Property Management,Concept Property Management,unknown,,,,,,149 Addington Road South Croydon CR2 8LH,CR2 8LH,South Croydon,51.3444156,-0.0612969,overpass,way/268180042,,,way,268180042,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Conrad Fox,Conrad Fox,unknown,,,,,,,,,51.419423,-0.083116,overpass,way/189057225,,,way,189057225,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cooper Giles,Cooper Giles,unknown,,,,,,,,,51.419353,-0.0831064,overpass,way/194085704,,,way,194085704,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cornerstone Estate Agents,Cornerstone Estate Agents,unknown,https://www.cornerstone-web.com/,cornerstone-web.com,https://www.cornerstone-web.com/,02086955000,,"281 Brighton Rd, South Croydon CR2 6EQ, UK",CR2 6EQ,South Croydon,51.352678399999995,-0.09805979999999999,google,ChIJH-yg-S0HdkgRnMD_LP1trIU,,ChIJH-yg-S0HdkgRnMD_LP1trIU,,,100,validated,google,1,businessStatus:OPERATIONAL|googleType:real_estate_agency|googleType:point_of_interest|googleType:service|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cornerstone Estate Agents,"Cornerstone Estate Agents, Croydon",sales,,,,02045720461,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Cornerstone-Estate-Agents/Croydon-278312.html,https://www.rightmove.co.uk/estate-agents/agent/Cornerstone-Estate-Agents/Croydon-278312.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cornerstone Estate Agents,Cornerstone Estate Agents - Croydon,sales_and_lettings,,,,02081286696,,"281 Brighton Road, Croydon, CR2 6EQ",CR2 6EQ,Croydon,,,otm,https://www.onthemarket.com/agents/branch/cornerstone-estate-agents-croydon/,https://www.onthemarket.com/agents/branch/cornerstone-estate-agents-croydon/,,,,100,partial,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cray & Norton Estate Agents,"Cray & Norton Estate Agents, Croydon",sales_and_lettings,,,,02038899177,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Cray-and-Norton-Estate-Agents/Croydon-31313.html,https://www.rightmove.co.uk/estate-agents/agent/Cray-and-Norton-Estate-Agents/Croydon-31313.html,,,,100,unvalidated,rightmove,2,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Croydon Estates,Croydon Estates,unknown,http://www.croydonestates.co.uk/,croydonestates.co.uk,http://www.croydonestates.co.uk/,02086648808,,"291-293 High St, Croydon CR0 1QL, UK",CR0 1QL,Croydon,51.3679634,-0.09896440000000001,google,ChIJr7W4U98GdkgR4jHkhQPsKys,,ChIJr7W4U98GdkgR4jHkhQPsKys,,,100,validated,google,1,businessStatus:OPERATIONAL|googleType:real_estate_agency|googleType:point_of_interest|googleType:service|googleType:establishment
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cubitt & West,Cubitt & West,unknown,https://www.cubittandwest.co.uk/estate-agent-in-purley/,cubittandwest.co.uk,https://www.cubittandwest.co.uk/estate-agent-in-purley/,+442086608882,,917 Brighton Road Purley CR8 2BP,CR8 2BP,Purley,51.3393149,-0.115468,overpass,node/3569168816,,,node,3569168816,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cubitt & West,Cubitt & West,unknown,,,,,,137-139 Wickham Road Croydon CR0 8TE,CR0 8TE,Croydon,51.3746381,-0.0502014,overpass,node/5958170393,,,node,5958170393,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cubitt & West,"Cubitt & West, Shirley",sales,,,,02038718516,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Cubitt-and-West/Shirley-2160.html,https://www.rightmove.co.uk/estate-agents/agent/Cubitt-and-West/Shirley-2160.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cubitt & West,Cubitt & West - Shirley,sales_and_lettings,http://www.cubittandwest.co.uk/,cubittandwest.co.uk,http://www.cubittandwest.co.uk/,02081153782,,"137-139 Wickham Road, Shirley, Croydon, CR0 8TE",CR0 8TE,Croydon,,,otm,https://www.onthemarket.com/agents/branch/cubitt-and-west-shirley/,https://www.onthemarket.com/agents/branch/cubitt-and-west-shirley/,,,,100,validated,otm,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Cubitt & West Residential Lettings,"Cubitt & West Residential Lettings, Shirley",lettings,,,,02038738399,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Cubitt-and-West-Residential-Lettings/Shirley-85054.html,https://www.rightmove.co.uk/estate-agents/agent/Cubitt-and-West-Residential-Lettings/Shirley-85054.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Daniel Adams,Daniel Adams,unknown,,,,,,147 Brighton Road Coulsdon CR5 2NJ,CR5 2NJ,Coulsdon,51.3214591,-0.1372279,overpass,way/598376902,,,way,598376902,100,unvalidated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,David Bright,David Bright,unknown,https://www.davidbrightestates.co.uk/,davidbrightestates.co.uk,https://www.davidbrightestates.co.uk/,+442033226899,,951 Brighton Road Purley CR8 2BQ,CR8 2BQ,Purley,51.3386377,-0.1165186,overpass,node/3568867705,,,node,3568867705,100,validated,overpass,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Dexter Services,"Dexter Services, Croydon",lettings,,,,02081380821,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Dexter-Services/Croydon-257465.html,https://www.rightmove.co.uk/estate-agents/agent/Dexter-Services/Croydon-257465.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Dickinson of London,"Dickinson of London, Croydon",lettings,,,,02039621807,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Dickinson-of-London/Croydon-64928.html,https://www.rightmove.co.uk/estate-agents/agent/Dickinson-of-London/Croydon-64928.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Enclave,"Enclave, Enclave: Croydon",lettings,,,,02038352437,,,,,,,rightmove,https://www.rightmove.co.uk/estate-agents/agent/Enclave/Enclave-Croydon-261809.html,https://www.rightmove.co.uk/estate-agents/agent/Enclave/Enclave-Croydon-261809.html,,,,100,unvalidated,rightmove,1,
Croydon,area,"London Borough of Croydon, Greater London, England, United Kingdom",GB,Expert Estate Agents,Expert Estate Agents - Croydon,sales_and_lettings,,,,02036416404,,"Square Root Business Centre 102-116 Windmill Road, Croydon, Surrey, CR0 2XQ",CR0 2XQ,Surrey,,,otm,https://www.onthemarket.com/agents/branch/expert-estate-agents-croydon/,https://www.onthemarket.com/agents/branch/expert-estate-agents-croydon/,,,,100,partial,otm,1,
